model,K,topN,normalize,div_mode,anchor_L,rel_mode,w_rel,w_novelty,w_longtail,w_div,Recall@10,NDCG@10,Coverage@10,LongTailShare@10,Novelty@10,AvgPopularity@10,seconds
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.08,0.14000000000000012,0.08,0.06920529801324503,0.03486909492545075,0.5269832703723691,0.05607615894039735,9.89989679653913,1327.971821192053,6.596216440200806
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.0,0.19999999999999996,0.0,0.0695364238410596,0.03510058323107127,0.5037776578521317,0.04665562913907285,9.807395545804738,1391.6949834437087,1.163670301437378
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.03,0.16999999999999993,0.0,0.06970198675496689,0.03506240721155316,0.5045871559633027,0.04812913907284768,9.828049603376957,1375.6504966887417,1.0853002071380615
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.05,0.1499999999999999,0.0,0.07052980132450332,0.03526741509341283,0.5086346465191581,0.049172185430463575,9.842137310915435,1364.8760099337749,1.0852224826812744
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.08,0.12,0.0,0.0706953642384106,0.035296349681862516,0.5110631408526713,0.05081125827814569,9.862652212183997,1349.5599503311257,1.1588647365570068
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.0,0.16999999999999993,0.03,0.06937086092715232,0.03506814817871242,0.496492174851592,0.04407284768211921,9.789949951819237,1401.951059602649,6.695084810256958
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.03,0.1399999999999999,0.03,0.0695364238410596,0.03505834989038403,0.5,0.045711920529801324,9.811230320583116,1385.9107781456953,6.683696746826172
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.05,0.11999999999999988,0.03,0.07086092715231788,0.0353556427782745,0.5010793308148948,0.04667218543046358,9.824248396418742,1375.710165562914,6.156770706176758
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.08,0.08999999999999997,0.03,0.0706953642384106,0.03535312107715034,0.5053966540744739,0.04841059602649007,9.845823619728847,1359.511440397351,6.202202796936035
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.0,0.1499999999999999,0.05,0.07003311258278146,0.03529724344237089,0.49136535348084187,0.04263245033112583,9.779018039387584,1408.459619205298,6.483862400054932
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.03,0.11999999999999988,0.05,0.06937086092715232,0.03506427946910549,0.49595250944414465,0.044254966887417216,9.800733485790278,1392.089619205298,7.048407316207886
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.05,0.09999999999999987,0.05,0.07019867549668875,0.03521052352617738,0.49730167296276306,0.04519867549668874,9.813276053232862,1382.533178807947,6.260651588439941
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.08,0.06999999999999995,0.05,0.07086092715231788,0.03541148897226933,0.5005396654074474,0.04675496688741722,9.834433547550478,1366.4587913907285,6.657977342605591
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.0,0.12,0.08,0.07003311258278146,0.03531570671407931,0.4854290339989207,0.04096026490066225,9.764229164281428,1417.7703311258279,6.67489218711853
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.03,0.08999999999999997,0.08,0.0695364238410596,0.0351269297331098,0.4878575283324339,0.042201986754966885,9.785015839219882,1401.5307119205297,6.28217339515686
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.05,0.06999999999999995,0.08,0.06986754966887417,0.03523869300492427,0.4902860226659471,0.04311258278145695,9.798613643346243,1391.373261589404,6.708813428878784
NGCF-Rerank,10,200,minmax,max,0,raw,0.8,0.08,0.040000000000000036,0.08,0.07036423841059603,0.03528565623726508,0.4946033459255262,0.04466887417218543,9.819069985553918,1376.0817715231788,6.521687030792236
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.0,0.15000000000000002,0.0,0.06937086092715232,0.035053290894804655,0.48893685914732865,0.04223509933774834,9.776308460772432,1410.0194701986754,1.039743423461914
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.03,0.12,0.0,0.06970198675496689,0.035158542622504445,0.4932541824069077,0.04375827814569536,9.796679619448074,1394.5163907284768,0.988356351852417
